"","work","signature"
"173","_1844_851_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","rsl"
"174","_1844_851_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","us_harvard"
"175","_1844_851_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","lt_vul"
"176","_1844_851_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","ee_ester"
"177","_1844_852_NA_Золотые цветки, или Собрание басен, мыслей и других мелких стихотворений / [Изд. К. Шрейдер]","rsl"
"178","_1846_854_NA_Новоселье: [альманах]. Часть 3","us_harvard"
"179","_1846_854_NA_Новоселье: [альманах]. Часть 3","cz_slk"
"180","_1846_854_NA_Новоселье: [альманах]. Часть 3","ee_ester"
"181","_1842_855_NA_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","nlr_1"
"182","_1842_855_NA_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","rsl"
"183","_1842_855_NA_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","us_harvard"
"184","_1842_855_NA_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","cz_slk"
"185","_1842_855_NA_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","ee_ester"
"186","_1843_856_NA_Утренняя заря Альманах Владиславлева на 1843 год. 5-й год","nlr_1"
"187","_1843_856_NA_Утренняя заря Альманах Владиславлева на 1843 год. 5-й год","rsl"
"188","_1844_862_NA_Дамский альбом, составленный из отборных страниц русской поэзии : Заимствовано у Державина [и др.] / С портр. Лермонтова и ориг. рис. Е. Ковригина.","rsl"
"189","_1844_862_NA_Дамский альбом, составленный из отборных страниц русской поэзии : Заимствовано у Державина [и др.] / С портр. Лермонтова и ориг. рис. Е. Ковригина.","us_harvard"
"190","_1844_862_NA_Дамский альбом, составленный из отборных страниц русской поэзии : Заимствовано у Державина [и др.] / С портр. Лермонтова и ориг. рис. Е. Ковригина.","pl_bn"
"191","_1846_867_NA_Невский альманах... издаваемый Е. Аладьиным. ... на 1846 год : [стихи и проза / издатель Е.В. Аладьин]","nlr_1"
"192","_1846_867_NA_Невский альманах... издаваемый Е. Аладьиным. ... на 1846 год : [стихи и проза / издатель Е.В. Аладьин]","us_harvard"
"193","_1846_867_NA_Невский альманах... издаваемый Е. Аладьиным. ... на 1846 год : [стихи и проза / издатель Е.В. Аладьин]","cz_slk"
"194","_1846_868_NA_Петербургский сборник, изданный Н. Некрасовым : В.Г. Белинский, Ф.М. Достоевский, Искандер [псевд. А.И. Герцена], А.И. Кронеберг, А.Н. Майков, Н.А. Некрасов, А.В. Никитенко, кн. В.Ф. Одоевский, И.И. Панаев, гр. В.А. Соллогуб, И.С. Тургенев.","nlr_1"
"195","_1846_868_NA_Петербургский сборник, изданный Н. Некрасовым : В.Г. Белинский, Ф.М. Достоевский, Искандер [псевд. А.И. Герцена], А.И. Кронеберг, А.Н. Майков, Н.А. Некрасов, А.В. Никитенко, кн. В.Ф. Одоевский, И.И. Панаев, гр. В.А. Соллогуб, И.С. Тургенев.","rsl"
"196","_1846_868_NA_Петербургский сборник, изданный Н. Некрасовым : В.Г. Белинский, Ф.М. Достоевский, Искандер [псевд. А.И. Герцена], А.И. Кронеберг, А.Н. Майков, Н.А. Некрасов, А.В. Никитенко, кн. В.Ф. Одоевский, И.И. Панаев, гр. В.А. Соллогуб, И.С. Тургенев.","cz_slk"
"197","_1846_869_NA_Московский литературный и ученый сборник","nlr_1"
"198","_1846_869_NA_Московский литературный и ученый сборник","rsl"
"199","_1846_869_NA_Московский литературный и ученый сборник","us_harvard"
"200","_1846_869_NA_Московский литературный и ученый сборник","cz_slk"
"201","_1847_870_NA_Московский литературный и ученый сборник","nlr_1"
"202","_1847_870_NA_Московский литературный и ученый сборник","rsl"
"203","_1847_870_NA_Московский литературный и ученый сборник","us_harvard"
"204","_1847_870_NA_Московский литературный и ученый сборник","cz_slk"
