"","work","collection"
"170","1846_578_Некрасов Н. (изд.)_Петербургский сборник, изданный Н. Некрасовым : В.Г. Белинский, Ф.М. Достоевский, Искандер [псевд. А.И. Герцена], А.И. Кронеберг, А.Н. Майков, Н.А. Некрасов, А.В. Никитенко, кн. В.Ф. Одоевский, И.И. Панаев, гр. В.А. Соллогуб, И.С. Тургенев.","nlr"
"171","1846_578_Некрасов Н. (изд.)_Петербургский сборник, изданный Н. Некрасовым : В.Г. Белинский, Ф.М. Достоевский, Искандер [псевд. А.И. Герцена], А.И. Кронеберг, А.Н. Майков, Н.А. Некрасов, А.В. Никитенко, кн. В.Ф. Одоевский, И.И. Панаев, гр. В.А. Соллогуб, И.С. Тургенев.","rsl"
"172","1846_578_Некрасов Н. (изд.)_Петербургский сборник, изданный Н. Некрасовым : В.Г. Белинский, Ф.М. Достоевский, Искандер [псевд. А.И. Герцена], А.И. Кронеберг, А.Н. Майков, Н.А. Некрасов, А.В. Никитенко, кн. В.Ф. Одоевский, И.И. Панаев, гр. В.А. Соллогуб, И.С. Тургенев.","cz_slk"
"173","1846_579_NA_Московский литературный и ученый сборник : Т. 1","nlr"
"174","1846_579_NA_Московский литературный и ученый сборник : Т. 1","rsl"
"175","1846_579_NA_Московский литературный и ученый сборник : Т. 1","us_harvard"
"176","1846_579_NA_Московский литературный и ученый сборник : Т. 1","cz_slk"
"177","1847_622_NA_Московский литературный и ученый сборник : Т. 2","nlr"
"178","1847_622_NA_Московский литературный и ученый сборник : Т. 2","rsl"
"179","1847_622_NA_Московский литературный и ученый сборник : Т. 2","us_harvard"
"180","1847_622_NA_Московский литературный и ученый сборник : Т. 2","cz_slk"
"181","1848_633_Ваненко И. (изд.)_Междуделье : Альм. разнообраз. ст. по смыслу и качеству, принадлежащих разн. неизвест. писателям и собр. воедино Иваном Ваненко","nlr"
"182","1848_633_Ваненко И. (изд.)_Междуделье : Альм. разнообраз. ст. по смыслу и качеству, принадлежащих разн. неизвест. писателям и собр. воедино Иваном Ваненко","rsl"
"183","1848_633_Ваненко И. (изд.)_Междуделье : Альм. разнообраз. ст. по смыслу и качеству, принадлежащих разн. неизвест. писателям и собр. воедино Иваном Ваненко","fi_sl"
"184","1848_657_NA_Калейдоскоп : Этюды в стихах и прозе. Вып. 1","nlr"
"185","1849_681_NA_Сборник в пользу бедных семейств Басманного отделения на 1849 год : [Рассказы, стихотворения, статьи]","nlr"
"186","1849_681_NA_Сборник в пользу бедных семейств Басманного отделения на 1849 год : [Рассказы, стихотворения, статьи]","rsl"
"187","1849_681_NA_Сборник в пользу бедных семейств Басманного отделения на 1849 год : [Рассказы, стихотворения, статьи]","fi_sl"
"188","1849_684_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 1.","nlr"
"189","1849_684_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 1.","rsl"
"190","1849_684_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 1.","fi_sl"
"191","1849_685_NA_Ярославский литературный сборник. 1849","nlr"
"192","1849_685_NA_Ярославский литературный сборник. 1849","fi_sl"
"193","1850_728_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 2.","nlr"
"194","1850_728_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 2.","rsl"
"195","1850_728_Фумели Н. (изд.)_Литературные вечера / Изд. Николай Фумели. Вечер 2.","fi_sl"
"196","1850_729_NA_На Новый год : Альманах в подарок читателям Москвитянина. ","nlr"
"197","1850_729_NA_На Новый год : Альманах в подарок читателям Москвитянина. ","rsl"
"198","1850_729_NA_На Новый год : Альманах в подарок читателям Москвитянина. ","us_harvard"
"199","1850_729_NA_На Новый год : Альманах в подарок читателям Москвитянина. ","fi_sl"
"200","1850_731_Поздняков Я.М., Пономарев А.П. (изд.)_Поэтические эскизы : Альм. стихотворений изд. Я.М. Позняковым и А.П. Пономаревым.","nlr"
"201","1850_731_Поздняков Я.М., Пономарев А.П. (изд.)_Поэтические эскизы : Альм. стихотворений изд. Я.М. Позняковым и А.П. Пономаревым.","fi_sl"
"202","1850_758_Максимович М. (изд.)_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 3. [На 1850 год]","nlr"
"203","1850_758_Максимович М. (изд.)_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 3. [На 1850 год]","rsl"
"204","1850_758_Максимович М. (изд.)_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 3. [На 1850 год]","cz_slk"
"205","1833_759_Барон Розен (изд.)_Альциона, альманах на 1833 год. Изд. Бароном Розеном","nlr"
"206","1833_759_Барон Розен (изд.)_Альциона, альманах на 1833 год. Изд. Бароном Розеном","rsl"
"207","1833_759_Барон Розен (изд.)_Альциона, альманах на 1833 год. Изд. Бароном Розеном","cz_slk"
"208","1833_760_NA_Комета Белы. Альманах на 1833 год","nlr"
"209","1833_760_NA_Комета Белы. Альманах на 1833 год","fi_sl"
"210","1832_763_Аладьин Е. (изд.)_Невский альманах на 1832 год. Изд. Егором Аладьиным","nlr"
"211","1832_763_Аладьин Е. (изд.)_Невский альманах на 1832 год. Изд. Егором Аладьиным","us_harvard"
"212","1832_763_Аладьин Е. (изд.)_Невский альманах на 1832 год. Изд. Егором Аладьиным","cz_slk"
"213","1833_764_Аладьин Е. (изд.)_Невский альманах на 1833 год. Изд. Егором Аладьиным","nlr"
"214","1833_765_NA_Новоселье: [альманах]. Часть 1","nlr"
"215","1833_765_NA_Новоселье: [альманах]. Часть 1","rsl"
"216","1833_765_NA_Новоселье: [альманах]. Часть 1","us_harvard"
"217","1833_765_NA_Новоселье: [альманах]. Часть 1","cz_slk"
"218","1833_765_NA_Новоселье: [альманах]. Часть 1","ee_ester"
"219","1832_766_NA_Полярная звезда. Карманная книжка для любителей и любительниц чтения. На 1832 год","nlr"
"220","1832_766_NA_Полярная звезда. Карманная книжка для любителей и любительниц чтения. На 1832 год","rsl"
"221","1832_766_NA_Полярная звезда. Карманная книжка для любителей и любительниц чтения. На 1832 год","fi_sl"
"222","1832_767_А.И.Н. (изд.)_Радуга, или карманная книжка для любителей и любительниц чтения, на 1833 год. Издал. А.И.Н.","rsl"
"223","1832_767_А.И.Н. (изд.)_Радуга, или карманная книжка для любителей и любительниц чтения, на 1833 год. Издал. А.И.Н.","us_harvard"
