"","work","collection"
"242","1837_172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","rsl"
"243","1837_172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","rozanov"
"244","1837_172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","ee_ester"
"245","1837_172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","fi_sl"
"246","1837_172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","spbgu"
"247","1837_175_Якубович Л.А._Стихотворения Лукьяна Якубовича","nlr"
"248","1837_175_Якубович Л.А._Стихотворения Лукьяна Якубовича","rozanov"
"249","1837_175_Якубович Л.А._Стихотворения Лукьяна Якубовича","fi_sl"
"250","1837_178_Стромилов С._XII сонетов С. Стромилова","nlr"
"251","1837_178_Стромилов С._XII сонетов С. Стромилова","rozanov"
"252","1837_179_П. Гр…в_Звезда любви (L’etoile d’amour). Подарок прелестному полу","nlr"
"253","1837_179_П. Гр…в_Звезда любви (L’etoile d’amour). Подарок прелестному полу","rsl"
"254","1837_180_Громов И._Мой кальян: Стихотворения И. Громова","nlr"
"255","1837_180_Громов И._Мой кальян: Стихотворения И. Громова","us_harvard"
"256","1837_181_Пустельгин_Мои пенаты: Стихотворения Пустельгина","nlr"
"257","1837_181_Пустельгин_Мои пенаты: Стихотворения Пустельгина","spbgu"
"258","1837_182_Магденко А._Стихотворения Андрея Магденки. Издал А. Грен","nlr"
"259","1837_182_Магденко А._Стихотворения Андрея Магденки. Издал А. Грен","rsl"
"260","1837_183_NA_Стихотворения молодого Черкеса","nlr"
"261","1837_183_NA_Стихотворения молодого Черкеса","rsl"
"262","1837_186_Петров И.М._Стихотворения И. Петрова. Книга 1-я, содержащая эпиграммы","nlr"
"263","1837_186_Петров И.М._Стихотворения И. Петрова. Книга 1-я, содержащая эпиграммы","us_harvard"
"264","1837_187_Шаршавый_Цевница, на 1837 год. Соч. Шаршавого (Альманах)","nlr"
"265","1837_187_Шаршавый_Цевница, на 1837 год. Соч. Шаршавого (Альманах)","rsl"
"266","1837_187_Шаршавый_Цевница, на 1837 год. Соч. Шаршавого (Альманах)","us_harvard"
"267","1837_190_П. Ш._Рассказы из русской истории в стихах. Соч. П. Ш.","nlr"
"268","1837_190_П. Ш._Рассказы из русской истории в стихах. Соч. П. Ш.","fi_sl"
"269","1837_192_Шахова Е.Н._Опыт в стихах пятнадцатилетней девицы Елисаветы Шаховой : Писано в 1836 г.","nlr"
"270","1837_193_NA_Разные стихотворения","nlr"
"271","1838_201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","nlr"
"272","1838_201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","rsl"
"273","1838_201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","rozanov"
"274","1838_201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","us_harvard"
"275","1838_201_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","pl_buw"
"276","1838_204_Вердеревский А._Стихотворения Александра Вердеревского","nlr"
"277","1838_204_Вердеревский А._Стихотворения Александра Вердеревского","rsl"
"278","1838_204_Вердеревский А._Стихотворения Александра Вердеревского","fi_sl"
"279","1838_205_Веронов_Стихотворения Веронова","nlr"
"280","1838_205_Веронов_Стихотворения Веронова","rsl"
"281","1838_205_Веронов_Стихотворения Веронова","rozanov"
"282","1838_205_Веронов_Стихотворения Веронова","us_harvard"
"283","1838_207_Демидов М._Разные разности. Стихотворения М. Демидова","nlr"
